time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,328,24.382,37.61,0.044
2014-01-01,329,23.503,37.683,0.044
2014-01-01,330,23.43,37.727000000000004,0.045
2014-01-01,331,23.474,37.771,0.044
2014-01-01,332,23.547,37.742,0.044
2014-01-01,333,20.837,37.654,0.047
2014-01-01,334,20.764,37.698,0.047
2014-01-01,335,20.691,37.756,0.047
2014-01-01,336,20.632,37.815,0.046
2014-01-01,337,20.647000000000002,37.888,0.046
2014-01-01,338,20.72,37.917,0.046
2014-01-01,339,20.779,37.859,0.046
2014-01-01,340,20.867,37.83,0.046
2014-01-01,341,20.925,37.756,0.047
2014-01-01,342,20.925,37.727000000000004,0.047
2014-01-01,343,20.867,37.698,0.047
2014-01-01,344,12.312,37.917,0.048
2014-01-01,345,12.341000000000001,37.932,0.048
2014-01-01,346,25.247,37.537,0.044
2014-01-01,347,25.159,37.551,0.044
2014-01-01,348,25.071,37.595,0.044
2014-01-01,349,24.998,37.639,0.044
2014-01-01,350,24.939,37.698,0.043
2014-01-01,351,24.88,37.771,0.043
2014-01-01,352,24.807000000000002,37.815,0.044
2014-01-01,353,24.734,37.874,0.044
2014-01-01,354,24.69,37.947,0.043
2014-01-01,355,24.749,37.991,0.044
2014-01-01,356,24.836000000000002,37.961,0.044
2014-01-01,357,24.91,37.917,0.044
2014-01-01,358,24.968,37.859,0.044
2014-01-01,359,24.983,37.771,0.044
2014-01-01,360,25.027,37.698,0.044
2014-01-01,361,25.1,37.654,0.044
2014-01-01,362,25.188,37.639,0.044
2014-01-01,363,25.261,37.595,0.044
2014-01-01,364,14.993,38.372,0.047
2014-01-01,365,14.934000000000001,38.445,0.047
2014-01-01,366,14.89,38.518,0.047
2014-01-01,367,14.817,38.562,0.047
2014-01-01,368,14.861,38.577,0.047
2014-01-01,369,14.934000000000001,38.518,0.047
2014-01-01,370,14.978,38.459,0.047
2014-01-01,371,26.008,38.152,0.043
2014-01-01,372,25.935000000000002,38.196,0.043
2014-01-01,373,25.862000000000002,38.254,0.043
2014-01-01,374,25.935000000000002,38.313,0.043
2014-01-01,375,25.964000000000002,38.386,0.043
2014-01-01,376,25.92,38.459,0.043
2014-01-01,377,25.847,38.518,0.043
2014-01-01,378,25.876,38.577,0.043
2014-01-01,379,25.964000000000002,38.591,0.043
2014-01-01,380,26.052,38.591,0.042
2014-01-01,381,26.125,38.562,0.042
2014-01-01,382,26.155,38.489000000000004,0.042
2014-01-01,383,26.155,38.401,0.043
2014-01-01,384,26.169,38.313,0.042
2014-01-01,385,26.125,38.254,0.043
2014-01-01,386,26.067,38.196,0.043
2014-01-01,387,25.583000000000002,38.533,0.043
2014-01-01,388,25.54,38.606,0.043
2014-01-01,389,25.613,38.577,0.043
2014-01-01,390,13.162,38.723,0.048
2014-01-01,391,1.5310000000000001,38.679,0.048
2014-01-01,392,1.545,38.65,0.048
2014-01-01,393,1.458,38.665,0.048
2014-01-01,394,1.3840000000000001,38.679,0.047
2014-01-01,395,1.428,38.752,0.047
2014-01-01,396,1.487,38.694,0.048
2014-01-01,397,15.227,38.782000000000004,0.047
2014-01-01,398,15.212,38.811,0.047
2014-01-01,399,24.646,38.767,0.043
2014-01-01,400,24.558,38.782000000000004,0.043
2014-01-01,401,24.5,38.84,0.043
2014-01-01,402,24.441,38.899,0.043
2014-01-01,403,24.47,38.972,0.043
2014-01-01,404,24.558,38.943,0.043
2014-01-01,405,24.602,38.87,0.043
2014-01-01,406,24.675,38.811,0.043
2014-01-01,407,1.414,38.84,0.047
2014-01-01,408,1.355,38.84,0.047
2014-01-01,409,1.2670000000000001,38.855000000000004,0.047
2014-01-01,410,1.208,38.899,0.047
2014-01-01,411,1.252,38.972,0.047
2014-01-01,412,1.311,39.045,0.047
2014-01-01,413,1.3920000000000001,39.089,0.047
2014-01-01,414,1.458,39.104,0.047
2014-01-01,415,1.567,39.119,0.047
2014-01-01,416,1.619,39.045,0.048
2014-01-01,417,1.56,38.987,0.048
2014-01-01,418,1.5010000000000001,38.928,0.048
2014-01-01,419,2.966,39.133,0.05
2014-01-01,420,2.922,39.163000000000004,0.049
2014-01-01,421,2.981,39.148,0.05
2014-01-01,422,23.635,39.192,0.043
2014-01-01,423,23.708000000000002,39.148,0.043
2014-01-01,424,23.796,39.133,0.042
2014-01-01,425,23.752,39.089,0.043
2014-01-01,426,23.665,39.104,0.043
2014-01-01,427,23.606,39.163000000000004,0.043
2014-01-01,428,20.178,39.177,0.045
2014-01-01,429,20.164,39.221000000000004,0.045
2014-01-01,430,23.87,39.177,0.042
2014-01-01,431,23.914,39.25,0.042
2014-01-01,432,23.987000000000002,39.28,0.042
2014-01-01,433,23.928,39.236000000000004,0.042
2014-01-01,434,24.060000000000002,39.294000000000004,0.042
2014-01-01,435,24.060000000000002,39.353,0.042
